,date_month,state,cases,people_fully_vaccinated
195,20-06,Mississippi,19799,0.0
196,20-06,Missouri,16712,0.0
197,20-06,Montana,609,0.0
198,20-06,Nebraska,16860,0.0
199,20-06,Nevada,11316,0.0
200,20-06,New Hampshire,5345,0.0
201,20-06,New Jersey,167103,0.0
202,20-06,New Mexico,9845,0.0
203,20-06,New York,388719,0.0
204,20-06,North Carolina,45257,0.0
205,20-06,North Dakota,3104,0.0
206,20-06,Northern Mariana Islands,30,0.0
207,20-06,Ohio,41576,0.0
208,20-06,Oklahoma,8417,0.0
209,20-06,Oregon,5831,0.0
210,20-06,Pennsylvania,83687,0.0
211,20-06,Puerto Rico,5890,0.0
212,20-06,Rhode Island,16093,0.0
213,20-06,South Carolina,19381,0.0
214,20-06,South Dakota,5928,0.0
215,20-06,Tennessee,30945,0.0
216,20-06,Texas,91726,0.0
217,20-06,Utah,14757,0.0
218,20-06,Vermont,1130,0.0
219,20-06,Virgin Islands,73,0.0
220,20-06,Virginia,54886,0.0
221,20-06,Washington,27577,0.0
222,20-06,West Virginia,2322,0.0
223,20-06,Wisconsin,25530,0.0
224,20-06,Wyoming,1079,0.0
225,20-07,Alabama,59067,0.0
226,20-07,Alaska,1958,0.0
227,20-07,Arizona,131411,0.0
228,20-07,Arkansas,30297,0.0
229,20-07,California,355497,0.0
230,20-07,Colorado,38240,0.0
231,20-07,Connecticut,47636,0.0
232,20-07,Delaware,13050,0.0
233,20-07,District of Columbia,11026,0.0
234,20-07,Florida,301802,0.0
235,20-07,Georgia,118147,0.0
236,20-07,Guam,1282,0.0
237,20-07,Hawaii,1271,0.0
238,20-07,Idaho,12599,0.0
239,20-07,Illinois,158451,0.0
240,20-07,Indiana,54698,0.0
241,20-07,Iowa,36536,0.0
242,20-07,Kansas,21157,0.0
243,20-07,Kentucky,21148,0.0
244,20-07,Louisiana,84241,0.0
245,20-07,Maine,3578,0.0
246,20-07,Maryland,75576,0.0
247,20-07,Massachusetts,112347,0.0
248,20-07,Michigan,79081,0.0
249,20-07,Minnesota,43782,0.0
250,20-07,Mississippi,38567,0.0
251,20-07,Missouri,31737,0.0
252,20-07,Montana,2149,0.0
253,20-07,Nebraska,21979,0.0
254,20-07,Nevada,30587,0.0
255,20-07,New Hampshire,6113,0.0
256,20-07,New Jersey,178252,0.0
257,20-07,New Mexico,15841,0.0
258,20-07,New York,408709,0.0
259,20-07,North Carolina,91573,0.0
260,20-07,North Dakota,4569,0.0
261,20-07,Northern Mariana Islands,36,0.0
262,20-07,Ohio,69311,0.0
263,20-07,Oklahoma,22813,0.0
264,20-07,Oregon,13129,0.0
265,20-07,Pennsylvania,102361,0.0
266,20-07,Puerto Rico,10379,0.0
267,20-07,Rhode Island,17640,0.0
268,20-07,South Carolina,62245,0.0
